Country,Gold,Silver,Bronze
United States,46,37,38
South Korea,9,3,9
France,10,18,14
Australia,8,11,10
Germany,17,10,15
Taiwan,1,0,2
Russia,19,18,19
Brazil,7,6,6
United Kingdom,27,23,17
Japan,12,8,21
Ukraine,2,5,4
Greece,3,1,2
China,26,18,26
North Korea,2,3,2
Netherlands,8,7,4
Switzerland,3,2,2
Ethiopia,1,2,5
Kenya,6,6,1
Canada,4,3,15
Jamaica,6,3,2
Spain,7,4,6
New Zealand,4,9,5
Algeria,0,2,0
Bahamas,1,0,1
South Africa,2,6,2
Grenada,0,1,0
Turkey,1,3,4
Slovakia,2,2,0
Poland,2,3,6
Tajikistan,1,0,0
Belarus,1,4,4
Qatar,0,1,0
Trinidad and Tobago,0,0,1
Mexico,0,3,2
Bahrain,1,1,0
Denmark,2,6,7
Burundi,0,1,0
Cuba,5,2,4
Croatia,5,3,2
Belgium,2,2,2
Bulgaria,0,1,2
Czech Republic,1,2,7
Serbia,2,4,2
Hungary,8,3,4
Kazakhstan,3,5,9
Colombia,3,2,3
Venezuela,0,1,2
Malaysia,0,4,1
Indonesia,1,2,0
India,0,1,1
Italy,8,12,8
Uzbekistan,4,2,7
Mongolia,0,1,1
Azerbaijan,1,7,10
Morocco,0,0,1
Finland,0,0,1
Slovenia,1,2,1
Moldova,0,0,1
Lithuania,0,1,3
Sweden,2,6,3
Romania,1,1,3
Tunisia,0,0,3
Nigeria,0,0,1
Norway,0,0,4
Argentina,3,1,0
Israel,0,0,2
Georgia,2,1,4
United Arab Emirates,0,0,1
Kosovo,1,0,0
Portugal,0,0,1
Ireland,0,2,0
Estonia,0,0,1
Fiji,1,0,0
Austria,0,0,1
Vietnam,1,1,0
Independent Olympic Athletes,1,0,1
Singapore,1,0,0
Niger,0,1,0
Dominican Republic,0,0,1
Thailand,2,2,2
Jordan,1,0,0
Cote d'Ivoire,1,0,1
Egypt,0,0,3
Iran,3,1,4
Puerto Rico,1,0,0
Armenia,1,3,0
Philippines,0,1,0